,TrialType,BlockType,Response,RT
0,lose,mostly_reward,m,1.034
1,win,mostly_reward,m,1.186
2,win,mostly_reward,l,1.547
3,neutral,mostly_reward,l,0.495
4,win,mostly_reward,l,0.495
5,win,mostly_reward,l,1.019
6,win,mostly_reward,m,1.005
7,win,mostly_reward,m,1.821
8,neutral,mostly_reward,m,0.925
9,win,mostly_reward,m,0.786
10,win,mostly_reward,l,1.175
11,lose,mostly_reward,l,0.859
12,lose,mostly_reward,l,2.208
13,win,mostly_reward,l,1.959
14,neutral,mostly_reward,m,1.194
15,win,mostly_reward,m,0.709
16,win,mostly_reward,m,0.806
17,win,mostly_reward,m,1.265
18,win,mostly_reward,m,1.975
19,win,mostly_reward,m,2.24
20,win,mostly_reward,l,1.698
21,neutral,mostly_reward,l,1.356
22,win,mostly_reward,m,2.666
23,lose,mostly_reward,m,1.092
24,lose,mostly_reward,l,1.037
25,win,mostly_reward,l,2.042
26,win,mostly_reward,l,0.622
27,win,mostly_reward,m,1.107
28,neutral,mostly_reward,m,1.167
29,lose,mostly_reward,l,1.322
30,win,mostly_reward,l,0.567
31,neutral,mostly_reward,m,1.086
32,lose,mostly_punish,l,0.794
33,lose,mostly_punish,l,2.095
34,lose,mostly_punish,m,1.628
35,neutral,mostly_punish,m,1.385
36,lose,mostly_punish,l,0.918
37,lose,mostly_punish,m,1.446
38,win,mostly_punish,m,2.284
39,lose,mostly_punish,l,1.258
40,neutral,mostly_punish,m,0.911
41,lose,mostly_punish,l,0.681
42,lose,mostly_punish,m,1.525
43,neutral,mostly_punish,m,0.659
44,win,mostly_punish,m,1.376
45,win,mostly_punish,m,3.724
46,lose,mostly_punish,m,1.268
47,lose,mostly_punish,m,1.148
48,lose,mostly_punish,m,0.585
49,lose,mostly_punish,m,0.885
50,neutral,mostly_punish,m,2.238
51,lose,mostly_punish,l,1.223
52,lose,mostly_punish,l,0.911
53,win,mostly_punish,m,1.203
54,lose,mostly_punish,m,2.417
55,lose,mostly_punish,m,0.585
56,lose,mostly_punish,m,1.68
57,neutral,mostly_punish,l,0.997
58,neutral,mostly_punish,l,0.777
59,win,mostly_punish,l,0.614
60,win,mostly_punish,m,2.551
61,lose,mostly_punish,l,0.782
62,lose,mostly_punish,m,1.482
63,lose,mostly_punish,l,0.645
