TrialType,BlockType,Response,RT,BlockTrial,Trial,Epoch,ans,bll,lf
Reward,MostlyReward,f,1029,0,0,0,0.05,0.5,0.5
Reward,MostlyReward,f,1186,1,1,0,0.05,0.5,0.5
Punishment,MostlyReward,f,2155,2,2,0,0.05,0.5,0.5
Reward,MostlyReward,f,1750,3,3,0,0.05,0.5,0.5
Reward,MostlyReward,f,1561,4,4,0,0.05,0.5,0.5
Reward,MostlyReward,f,1160,5,5,0,0.05,0.5,0.5
Neutral,MostlyReward,f,1510,6,6,0,0.05,0.5,0.5
Reward,MostlyReward,f,1141,7,7,0,0.05,0.5,0.5
Reward,MostlyPunishment,f,1490,0,8,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1412,1,9,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1416,2,10,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1302,3,11,0,0.05,0.5,0.5
Neutral,MostlyPunishment,f,1305,4,12,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1317,5,13,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1314,6,14,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1276,7,15,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1123,0,16,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1143,1,17,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1140,2,18,0,0.05,0.5,0.5
Neutral,MostlyPunishment,f,1131,3,19,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1114,4,20,0,0.05,0.5,0.5
Neutral,MostlyPunishment,f,1126,5,21,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1105,6,22,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1306,7,23,0,0.05,0.5,0.5
Reward,MostlyReward,f,1104,0,24,0,0.05,0.5,0.5
Reward,MostlyReward,f,1326,1,25,0,0.05,0.5,0.5
Punishment,MostlyReward,f,1294,2,26,0,0.05,0.5,0.5
Reward,MostlyReward,f,1109,3,27,0,0.05,0.5,0.5
Punishment,MostlyReward,f,1274,4,28,0,0.05,0.5,0.5
Reward,MostlyReward,f,1107,5,29,0,0.05,0.5,0.5
Reward,MostlyReward,f,1104,6,30,0,0.05,0.5,0.5
Reward,MostlyReward,f,1113,7,31,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1105,0,32,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1110,1,33,0,0.05,0.5,0.5
Reward,MostlyPunishment,f,1096,2,34,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1254,3,35,0,0.05,0.5,0.5
Reward,MostlyPunishment,f,1098,4,36,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1096,5,37,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1090,6,38,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1100,7,39,0,0.05,0.5,0.5
Reward,MostlyReward,f,1300,0,40,0,0.05,0.5,0.5
Neutral,MostlyReward,f,1086,1,41,0,0.05,0.5,0.5
Reward,MostlyReward,f,1091,2,42,0,0.05,0.5,0.5
Reward,MostlyReward,f,1093,3,43,0,0.05,0.5,0.5
Reward,MostlyReward,f,1084,4,44,0,0.05,0.5,0.5
Reward,MostlyReward,f,1083,5,45,0,0.05,0.5,0.5
Neutral,MostlyReward,f,1089,6,46,0,0.05,0.5,0.5
Reward,MostlyReward,f,1089,7,47,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1324,0,48,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1308,1,49,0,0.05,0.5,0.5
Reward,MostlyPunishment,f,1081,2,50,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1308,3,51,0,0.05,0.5,0.5
Reward,MostlyPunishment,f,1085,4,52,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1080,5,53,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1267,6,54,0,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1084,7,55,0,0.05,0.5,0.5
Reward,MostlyReward,f,1088,0,56,0,0.05,0.5,0.5
Reward,MostlyReward,f,1295,1,57,0,0.05,0.5,0.5
Punishment,MostlyReward,f,1076,2,58,0,0.05,0.5,0.5
Reward,MostlyReward,f,1078,3,59,0,0.05,0.5,0.5
Punishment,MostlyReward,f,1088,4,60,0,0.05,0.5,0.5
Reward,MostlyReward,f,1262,5,61,0,0.05,0.5,0.5
Reward,MostlyReward,f,1078,6,62,0,0.05,0.5,0.5
Reward,MostlyReward,f,1073,7,63,0,0.05,0.5,0.5
Reward,MostlyReward,j,1032,0,0,1,0.05,0.5,0.5
Reward,MostlyReward,j,1185,1,1,1,0.05,0.5,0.5
Punishment,MostlyReward,j,2096,2,2,1,0.05,0.5,0.5
Reward,MostlyReward,j,1709,3,3,1,0.05,0.5,0.5
Reward,MostlyReward,j,1535,4,4,1,0.05,0.5,0.5
Reward,MostlyReward,j,1159,5,5,1,0.05,0.5,0.5
Neutral,MostlyReward,j,1616,6,6,1,0.05,0.5,0.5
Reward,MostlyReward,j,1463,7,7,1,0.05,0.5,0.5
Reward,MostlyPunishment,j,1395,0,8,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1374,1,9,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1343,2,10,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1148,3,11,1,0.05,0.5,0.5
Neutral,MostlyPunishment,j,1271,4,12,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1150,5,13,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1331,6,14,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1160,7,15,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1130,0,16,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1122,1,17,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1320,2,18,1,0.05,0.5,0.5
Neutral,MostlyPunishment,j,1335,3,19,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1287,4,20,1,0.05,0.5,0.5
Neutral,MostlyPunishment,j,1124,5,21,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1126,6,22,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1134,7,23,1,0.05,0.5,0.5
Reward,MostlyReward,j,1115,0,24,1,0.05,0.5,0.5
Reward,MostlyReward,j,1116,1,25,1,0.05,0.5,0.5
Punishment,MostlyReward,j,1132,2,26,1,0.05,0.5,0.5
Reward,MostlyReward,j,1345,3,27,1,0.05,0.5,0.5
Punishment,MostlyReward,j,1332,4,28,1,0.05,0.5,0.5
Reward,MostlyReward,j,1104,5,29,1,0.05,0.5,0.5
Reward,MostlyReward,j,1107,6,30,1,0.05,0.5,0.5
Reward,MostlyReward,j,1321,7,31,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1108,0,32,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1104,1,33,1,0.05,0.5,0.5
Reward,MostlyPunishment,j,1101,2,34,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1282,3,35,1,0.05,0.5,0.5
Reward,MostlyPunishment,j,1090,4,36,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1091,5,37,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1094,6,38,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1294,7,39,1,0.05,0.5,0.5
Reward,MostlyReward,j,1087,0,40,1,0.05,0.5,0.5
Neutral,MostlyReward,j,1278,1,41,1,0.05,0.5,0.5
Reward,MostlyReward,j,1286,2,42,1,0.05,0.5,0.5
Reward,MostlyReward,j,1251,3,43,1,0.05,0.5,0.5
Reward,MostlyReward,j,1092,4,44,1,0.05,0.5,0.5
Reward,MostlyReward,j,1284,5,45,1,0.05,0.5,0.5
Neutral,MostlyReward,j,1274,6,46,1,0.05,0.5,0.5
Reward,MostlyReward,j,1095,7,47,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1253,0,48,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1259,1,49,1,0.05,0.5,0.5
Reward,MostlyPunishment,j,1235,2,50,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1085,3,51,1,0.05,0.5,0.5
Reward,MostlyPunishment,j,1230,4,52,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1081,5,53,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1260,6,54,1,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1088,7,55,1,0.05,0.5,0.5
Reward,MostlyReward,j,1224,0,56,1,0.05,0.5,0.5
Reward,MostlyReward,j,1078,1,57,1,0.05,0.5,0.5
Punishment,MostlyReward,j,1079,2,58,1,0.05,0.5,0.5
Reward,MostlyReward,j,1083,3,59,1,0.05,0.5,0.5
Punishment,MostlyReward,j,1225,4,60,1,0.05,0.5,0.5
Reward,MostlyReward,j,1084,5,61,1,0.05,0.5,0.5
Reward,MostlyReward,j,1252,6,62,1,0.05,0.5,0.5
Reward,MostlyReward,j,1079,7,63,1,0.05,0.5,0.5
Reward,MostlyReward,f,1101,0,0,2,0.05,0.5,0.5
Reward,MostlyReward,f,1383,1,1,2,0.05,0.5,0.5
Punishment,MostlyReward,f,1381,2,2,2,0.05,0.5,0.5
Reward,MostlyReward,f,1396,3,3,2,0.05,0.5,0.5
Reward,MostlyReward,f,1250,4,4,2,0.05,0.5,0.5
Reward,MostlyReward,f,1241,5,5,2,0.05,0.5,0.5
Neutral,MostlyReward,f,1172,6,6,2,0.05,0.5,0.5
Reward,MostlyReward,f,1172,7,7,2,0.05,0.5,0.5
Reward,MostlyPunishment,f,1166,0,8,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1154,1,9,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1136,2,10,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1732,3,11,2,0.05,0.5,0.5
Neutral,MostlyPunishment,f,1581,4,12,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1472,5,13,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1443,6,14,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1133,7,15,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1138,0,16,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1139,1,17,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1451,2,18,2,0.05,0.5,0.5
Neutral,MostlyPunishment,f,1125,3,19,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1484,4,20,2,0.05,0.5,0.5
Neutral,MostlyPunishment,f,1118,5,21,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1430,6,22,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1402,7,23,2,0.05,0.5,0.5
Reward,MostlyReward,f,1119,0,24,2,0.05,0.5,0.5
Reward,MostlyReward,f,1111,1,25,2,0.05,0.5,0.5
Punishment,MostlyReward,f,1372,2,26,2,0.05,0.5,0.5
Reward,MostlyReward,f,1382,3,27,2,0.05,0.5,0.5
Punishment,MostlyReward,f,1121,4,28,2,0.05,0.5,0.5
Reward,MostlyReward,f,1315,5,29,2,0.05,0.5,0.5
Reward,MostlyReward,f,1114,6,30,2,0.05,0.5,0.5
Reward,MostlyReward,f,1108,7,31,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1301,0,32,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1341,1,33,2,0.05,0.5,0.5
Reward,MostlyPunishment,f,1102,2,34,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1319,3,35,2,0.05,0.5,0.5
Reward,MostlyPunishment,f,1107,4,36,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1102,5,37,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1309,6,38,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1091,7,39,2,0.05,0.5,0.5
Reward,MostlyReward,f,1102,0,40,2,0.05,0.5,0.5
Neutral,MostlyReward,f,1091,1,41,2,0.05,0.5,0.5
Reward,MostlyReward,f,1292,2,42,2,0.05,0.5,0.5
Reward,MostlyReward,f,1097,3,43,2,0.05,0.5,0.5
Reward,MostlyReward,f,1275,4,44,2,0.05,0.5,0.5
Reward,MostlyReward,f,1277,5,45,2,0.05,0.5,0.5
Neutral,MostlyReward,f,1084,6,46,2,0.05,0.5,0.5
Reward,MostlyReward,f,1096,7,47,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1282,0,48,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1267,1,49,2,0.05,0.5,0.5
Reward,MostlyPunishment,f,1083,2,50,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1246,3,51,2,0.05,0.5,0.5
Reward,MostlyPunishment,f,1242,4,52,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1087,5,53,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1086,6,54,2,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1279,7,55,2,0.05,0.5,0.5
Reward,MostlyReward,f,1083,0,56,2,0.05,0.5,0.5
Reward,MostlyReward,f,1083,1,57,2,0.05,0.5,0.5
Punishment,MostlyReward,f,1085,2,58,2,0.05,0.5,0.5
Reward,MostlyReward,f,1080,3,59,2,0.05,0.5,0.5
Punishment,MostlyReward,f,1280,4,60,2,0.05,0.5,0.5
Reward,MostlyReward,f,1082,5,61,2,0.05,0.5,0.5
Reward,MostlyReward,f,1250,6,62,2,0.05,0.5,0.5
Reward,MostlyReward,f,1079,7,63,2,0.05,0.5,0.5
Reward,MostlyReward,j,1107,0,0,3,0.05,0.5,0.5
Reward,MostlyReward,f,1441,1,1,3,0.05,0.5,0.5
Punishment,MostlyReward,f,1296,2,2,3,0.05,0.5,0.5
Reward,MostlyReward,f,1350,3,3,3,0.05,0.5,0.5
Reward,MostlyReward,j,1530,4,4,3,0.05,0.5,0.5
Reward,MostlyReward,j,1397,5,5,3,0.05,0.5,0.5
Neutral,MostlyReward,j,1323,6,6,3,0.05,0.5,0.5
Reward,MostlyReward,f,1212,7,7,3,0.05,0.5,0.5
Reward,MostlyPunishment,j,1312,0,8,3,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1182,1,9,3,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1186,2,10,3,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1164,3,11,3,0.05,0.5,0.5
Neutral,MostlyPunishment,f,1163,4,12,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1271,5,13,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1299,6,14,3,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1160,7,15,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1284,0,16,3,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1132,1,17,3,0.05,0.5,0.5
